order_id,customer_state,region,total_delivery_days,delay_days,delivery_status,freight_value,review_score
357f2ad2d9ea3e63b225cfee8ad3b2a1,SP,Southeast,100,83,Severe Delay,12.02,5
79366f316d691e60b576d0a9b45b4ba6,SP,Southeast,96,82,Severe Delay,14.09,4
4a580bca631a940ffc9e25c96da01773,SP,Southeast,100,78,Severe Delay,16.43,5
2f71a7d28c0418b03cd08aed6b0a4400,SP,Southeast,86,75,Severe Delay,11.44,4
4dc5a389009b6cb5c61706d49f229a39,RJ,Southeast,94,74,Severe Delay,39.77,5
00d1289d5125017a90e528b5a7cee91f,RJ,Southeast,96,74,Severe Delay,19.0,1
d1f789756b59a9fb40b3becadeac90e4,PR,South,98,73,Severe Delay,27.29,1
489191dca3848c2c6ddbf667d4935fc3,RJ,Southeast,94,72,Severe Delay,14.1,1
77f1ce3b8d86fff49b9c811f00f4dc13,RJ,Southeast,97,70,Severe Delay,17.14,1
a622cb9542d08e3004c1a9a33a7cd859,SC,South,98,69,Severe Delay,17.92,5
891331814ee1cbcb8f77a53b2b136099,RJ,Southeast,86,68,Severe Delay,14.1,1
201ebbf7634b25abd400f84d519cf297,ES,Southeast,100,68,Severe Delay,29.17,3
38bfa8770aab7482945c44803221107e,SP,Southeast,88,67,Severe Delay,12.84,4
c679466a1ba6a8bdedcb2396f9e1dcbd,RJ,Southeast,85,66,Severe Delay,14.1,1
739e19153280cbc1a87c1a84be1ec4f6,SP,Southeast,81,66,Severe Delay,11.85,1
af95d7a4f9643401325ec89b4f7f8afe,SP,Southeast,78,65,Severe Delay,7.78,1
f390346ecbf61a6b81b92017a7410df1,SP,Southeast,81,63,Severe Delay,12.74,1
ca759ab8f22c84329b8dbcb5192ef923,SP,Southeast,84,60,Severe Delay,25.96,1
0096668e5b0b8e9657a6f7209a4e58b4,SP,Southeast,68,60,Severe Delay,13.47,4
fd4db108a62ede2be6aa8ef940b04fee,PR,South,86,60,Severe Delay,19.28,5
2c9ef60013a5ee6a831360e3d98c9c0d,RJ,Southeast,72,60,Severe Delay,9.54,5
416536d8c07c9cfd3cb14e229ec424a5,SP,Southeast,83,59,Severe Delay,18.7,5
a81c8b86774acbd8736ec06f26772f41,SP,Southeast,69,58,Severe Delay,11.79,5
7797e37c568b84182c813b9b2492b384,SP,Southeast,79,58,Severe Delay,21.93,5
c632f9a8a1b942e306b0335429bdb142,SP,Southeast,68,58,Severe Delay,64.41,5
c0a44fead1bf940766c68e73c9224dd2,ES,Southeast,82,58,Severe Delay,15.1,5
c60c1ff560443153d7f50771e5fe9b92,ES,Southeast,78,57,Severe Delay,16.46,1
