customer_state,sla_compliant,delay_days,order_id
AL,0.7862796833773087,-8.116094986807388,379
MA,0.8215339233038348,-8.775811209439528,678
SE,0.8507936507936508,-10.107936507936508,315
RR,0.8518518518518519,-12.25925925925926,27
PI,0.8565022421524664,-11.096412556053812,446
CE,0.8576158940397351,-10.189569536423841,1208
RJ,0.8711608537220198,-10.33194516744751,11526
BA,0.8767389194435458,-10.43901649951472,3091
PA,0.8843069873997709,-12.861397479954181,873
PB,0.8909853249475891,-12.534591194968554,477
