revenue_date,total_revenue,new_customer_revenue,repeat_customer_revenue,total_orders,total_customers,avg_order_value,revenue_growth_mom_pct
2016-10-01,49339.319999999956,49339.319999999956,0.0,279,279,166.6868918918919,
2016-12-01,19.62,19.62,0.0,1,1,19.62,-99.96023455532017
2017-01-01,131320.56999999992,131320.56999999992,0.0,761,761,162.12416049382716,669219.9286442401
2017-02-01,272041.4599999998,272041.4599999998,0.0,1661,1661,154.8329311326124,107.1582997241026
2017-03-01,415057.5000000002,415057.5000000002,0.0,2548,2548,153.6112139156179,52.571413195621176
2017-04-01,390854.9599999998,390854.9599999998,0.0,2293,2293,160.97815485996728,-5.831129421827187
2017-05-01,568032.870000002,568032.870000002,0.0,3547,3547,150.03509508716306,45.33085879222366
2017-06-01,490593.9100000023,490593.9100000023,0.0,3141,3141,147.90289719626193,-13.632830790232155
2017-07-01,564655.6400000018,564655.6400000018,0.0,3848,3848,137.0523398058253,15.096341085848195
2017-08-01,649269.5400000038,649269.5400000038,0.0,4210,4210,147.22665306122434,14.985044690247271
2017-09-01,702403.3800000004,702403.3800000004,0.0,4154,4154,160.5493439999999,8.183633564574166
2017-10-01,753726.7400000014,753726.7400000014,0.0,4494,4494,159.89112006788284,7.306821331070617
2017-11-01,1158361.2599999984,1158361.2599999984,0.0,7323,7323,151.81667889908258,53.68451171043716
2017-12-01,844737.7499999994,844737.7499999994,0.0,5521,5521,147.24381209691515,-27.074758180362434
2018-01-01,1083113.4200000025,1083113.4200000025,0.0,7060,7060,147.5028489718096,28.218896337946685
2018-02-01,964662.8900000033,964662.8900000033,0.0,6549,6549,142.49082570162557,-10.936115074633545
2018-03-01,1129776.9099999995,1129776.9099999995,0.0,7024,7024,154.3621956551442,17.11624047235772
2018-04-01,1075585.9899999967,1075585.9899999967,0.0,6423,6423,161.0882117717536,-4.7966036055740195
2018-05-01,1123078.8799999924,1123078.8799999924,0.0,6704,6704,161.43149058502283,4.41553631616156
2018-06-01,993591.5299999964,993591.5299999964,0.0,5979,5979,159.53621226718033,-11.529675457880295
2018-07-01,947218.2699999964,947218.2699999964,0.0,5609,5609,163.17282859603776,-4.667235840869152
2018-08-01,976324.5499999984,976324.5499999984,0.0,6288,6288,150.90023956723277,3.0728165747903193
