state_code,state_name,region,strategy_group,avg_ltv,total_customers,total_revenue,revenue_opportunity
AC,AC,Norte,Early Stage,247.42,77,19051.64,0.0
AL,AL,Nordeste,Early Stage,237.26,395,93716.96,11079.750000000004
AM,AM,Norte,Early Stage,190.94,144,27495.3,8133.119999999999
AP,AP,Norte,Early Stage,240.92,67,16141.81,435.5
BA,BA,Nordeste,Growth Opportunities,182.13,3219,586292.33,267756.42000000004
CE,CE,Nordeste,Growth Opportunities,207.39,1261,261517.26,73037.12000000002
DF,DF,Centro-Oeste,Early Stage,165.55,2044,338379.92,81719.11999999998
ES,ES,Sudeste,Early Stage,159.79,1972,315110.12,13468.760000000024
GO,GO,Centro-Oeste,Growth Opportunities,170.51,1926,328406.41,67448.52000000002
MA,MA,Nordeste,Growth Opportunities,207.06,707,146390.83,41182.75
MG,MG,Sudeste,Optimization Needed,160.72,11228,1804618.82,66245.20000000007
MS,MS,Centro-Oeste,Growth Opportunities,191.69,697,133604.91,9646.480000000003
MT,MT,Centro-Oeste,Growth Opportunities,205.53,872,179219.85,0.0
PA,PA,Norte,Early Stage,225.53,938,211542.61,20532.81999999999
PB,PB,Nordeste,Early Stage,265.31,510,135308.5,0.0
PE,PE,Nordeste,Growth Opportunities,195.75,1578,308899.68,109765.68000000001
PI,PI,Nordeste,Early Stage,221.65,473,104839.16,20651.179999999997
PR,PR,Sul,Optimization Needed,158.93,4857,771905.4,47841.449999999975
RJ,RJ,Sudeste,Optimization Needed,166.62,12238,2039064.75,0.0
RN,RN,Nordeste,Growth Opportunities,213.32,467,99620.99,24279.330000000005
RO,RO,Norte,Early Stage,234.31,243,56938.17,3185.7299999999964
RR,RR,Norte,Early Stage,215.11,40,8604.31,1292.399999999999
RS,RS,Sul,Optimization Needed,161.97,5283,855693.67,35977.23000000001
SC,SC,Sul,Growth Opportunities,168.78,3504,591417.04,0.0
SE,SE,Nordeste,Early Stage,207.74,334,69383.53,19228.379999999997
SP,SP,Sudeste,Optimization Needed,142.76,40075,5721238.73,956189.5000000006
TO,TO,Norte,Early Stage,219.87,270,59364.26,7438.499999999995
